?c	?label	?d
<http://purl.obolibrary.org/obo/UBERON_2001297>	"vagal placode 1"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000842>	"capitulum ulnae"^^<http://www.w3.org/2001/XMLSchema#string>	"Small eminence on the distal articular head of the ulna."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010239>	"subocular groove"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001812>	"preoperculo-mandibular sensory canal"^^<http://www.w3.org/2001/XMLSchema#string>	"Sensory canal lateral or ventral to and in close proximity to the otic and post-otic sensory canals at their union. The preoperculo-mandibular sensory canal is bilaterally paired and associated with the preopercle, angular and dentary bones."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001020>	"myotome somite 30"^^<http://www.w3.org/2001/XMLSchema#string>	"Portion of the somite giving rise to body wall muscle masses. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3010795>	"preopercular ramule"^^<http://www.w3.org/2001/XMLSchema#string>	"Ventral branch of the ramus mandibularis externus. This ramule have a superior and an inferior division, both innervating the preopercular line of neuromasts."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000845>	"slow muscle cell somite 25"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2002072>	"middle anterior process of basipterygium"^^<http://www.w3.org/2001/XMLSchema#string>	"Process that is bony and arises from anterior margin of basipterygium between internal anterior process of basipterygium and external anterior process of basipterygium. Middle anterior process of basipterygium projects anteriorly or anteromedially."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000307>	"vestibulolateralis lobe"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_3000717>	"amphicoelous"^^<http://www.w3.org/2001/XMLSchema#string>	"Ectochordal, biconcave or terminally flat vertebral centrum. This design seems to allow limited motion in most directions. An intervertebral body (which may or may not be independent from the adjacent centra) fills the cavity between successive centra. The intervertebral body usually is formed by soft material that may be derived, at least in part, from the embryonic notochord."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000740>	"epaxial region somite 5"^^<http://www.w3.org/2001/XMLSchema#string>	"Somite-derived body wall muscle present dorsal to the horizontal myoseptum. Kimmel et al, 1995."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200088>	"iliac peduncle of the pubis"@en	"Bony projection that is part of the dorsal surface of the pubis where it meets the ilium."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200027>	"supraglenoid buttress"@en	"A bony projection dorsal to the glenoid articulation on the scapulocoracoid."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000006>	"alveolar foramen"^^<http://www.w3.org/2001/XMLSchema#string>	"Foramen for the R. alveolaris of Nerve VII and the alveolar artery."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001895>	"hypobranchial 2 element"^^<http://www.w3.org/2001/XMLSchema#string>	"Skeletal element that is ventral, bilaterally paired and articulates with a median skeletal element medially and with a ceratobranchial 2 element laterally."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000718>	"ectochordal"^^<http://www.w3.org/2001/XMLSchema#string>	"Spool-shaped vertebral centrum with an open center in which the notochord lies."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4000009>	"obsolete notochordal cell"^^<http://www.w3.org/2001/XMLSchema#string>	"Cell of the notochord, often vacuolated or resembles a chondrocyte."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2001876>	"basibranchial 3 cartilage"^^<http://www.w3.org/2001/XMLSchema#string>	"Pharyngeal arch cartilage that is ventral, median, and associated with branchial arch 3 (pharyngeal arch 5)."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000821>	"primary neuron hindbrain"^^<http://www.w3.org/2001/XMLSchema#string>	
<http://purl.obolibrary.org/obo/UBERON_2001790>	"dorsal fin spine 2"^^<http://www.w3.org/2001/XMLSchema#string>	"Dorsal-fin lepidotrichium 2 with co-ossified and unsegmented hemitrichia that form a stiff shaft and enlarged base that moveably articulates with second dorsal-fin pterygiophore."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_4200089>	"fibular facet of the calcaneum"^^<http://www.w3.org/2001/XMLSchema#string>	"Articular surface on calcaneum for the fibula."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_2000171>	"interhyal bone"^^<http://www.w3.org/2001/XMLSchema#string>	"Replacement bone that is bilaterally paired and articulates dorsally with the hyosymplectic cartilage or the articulation of the hyomandibula and symplectic."^^<http://www.w3.org/2001/XMLSchema#string>
<http://purl.obolibrary.org/obo/UBERON_3000694>	"atlantal cotyle"^^<http://www.w3.org/2001/XMLSchema#string>	"Anterior, single or paired concave facets for articulation with the condyle(s) of the urostyle."^^<http://www.w3.org/2001/XMLSchema#string>
